Winner,Pts,Loser,Pts
Akron,31,Kent State,27
Bowling Green,24,Ball State,21
Duke,24,Wake Forest,21
Texas Tech,35,Texas Christian,28
Troy,28,South Alabama,10
Boston College,17,Syracuse,10
Wyoming,24,Colorado State,15
(8) Alabama,42,(13) Louisiana State,28
Alabama-Birmingham,45,Florida Atlantic,42
Appalachian State,31,Marshall,9
Arizona,27,(20) UCLA,10
Arkansas,39,Florida,36
Arkansas State,37,Louisiana,17
Army,23,(17) Air Force,3
Auburn,31,Vanderbilt,15
Central Florida,28,Cincinnati,26
Charlotte,33,Tulsa,26
Clemson,31,(12) Notre Dame,23
Coastal Carolina,28,Old Dominion,24
(4) Florida State,24,Pittsburgh,7
Fresno State,37,Boise State,30
(1) Georgia,30,(14) Missouri,21
Georgia Tech,45,Virginia,17
Hawaii,27,Nevada,14
Houston,25,Baylor,24
Illinois,27,Minnesota,26
Indiana,20,Wisconsin,14
Iowa,10,Northwestern,7
(23) James Madison,42,Georgia State,14
(22) Kansas,28,Iowa State,21
Kentucky,24,Mississippi State,3
Liberty,56,Louisiana Tech,30
(15) Louisville,34,Virginia Tech,3
Massachusetts,31,Merrimack,21
Memphis,59,South Florida,50
(2) Michigan,41,Purdue,13
Michigan State,20,Nebraska,17
(11) Mississippi,38,Texas A&M,35
Nevada-Las Vegas,56,New Mexico,14
New Mexico State,13,Middle Tennessee State,7
North Carolina,59,Campbell,7
North Carolina State,20,Miami (FL),6
(3) Ohio State,35,Rutgers,16
Oklahoma State,27,(10) Oklahoma,24
(6) Oregon,63,California,19
(16) Oregon State,26,Colorado,19
(9) Penn State,51,Maryland,15
Sam Houston,24,Kennesaw State,21
South Carolina,38,Jacksonville State,28
Southern Methodist,36,Rice,31
Southern Mississippi,24,Louisiana-Monroe,7
Stanford,10,Washington State,7
Temple,32,Navy,18
(19) Tennessee,59,Connecticut,3
(7) Texas,33,(25) Kansas State,30
Texas State,45,Georgia Southern,24
Texas-San Antonio,37,North Texas,29
(21) Tulane,13,East Carolina,10
(18) Utah,55,Arizona State,3
Utah State,32,San Diego State,24
(5) Washington,52,(24) Southern California,42
West Virginia,37,Brigham Young,7
Western Kentucky,21,Texas-El Paso,13
Ball State,20,Northern Illinois,17
Ohio,20,Buffalo,10
Western Michigan,38,Central Michigan,28
Bowling Green,49,Kent State,19
Miami (OH),19,Akron,0
Toledo,49,Eastern Michigan,23
(11) Louisville,31,Virginia,24
Southern Mississippi,34,Louisiana,31
Nevada-Las Vegas,34,Wyoming,14
Southern Methodist,45,North Texas,21
(8) Alabama,49,Kentucky,21
Appalachian State,42,Georgia State,14
(23) Arizona,34,Colorado,31
Arizona State,17,UCLA,7
Army,17,Holy Cross,14
Auburn,48,Arkansas,10
Boise State,42,New Mexico,14
California,42,Washington State,39
Central Florida,45,(15) Oklahoma State,3
Cincinnati,24,Houston,14
Clemson,42,Georgia Tech,21
Coastal Carolina,31,Texas State,23
Colorado State,22,San Diego State,19
East Carolina,22,Florida Atlantic,7
(4) Florida State,27,Miami (FL),20
(1) Georgia,52,(10) Mississippi,17
Hawaii,27,Air Force,13
Illinois,48,Indiana,45
Iowa,22,Rutgers,0
Iowa State,45,Brigham Young,13
(21) James Madison,44,Connecticut,6
Kansas State,59,Baylor,25
(25) Liberty,38,Old Dominion,10
(18) Louisiana State,52,Florida,35
Marshall,38,Georgia Southern,33
Maryland,13,Nebraska,10
